nom_ligne,jour,avg_passagers
B1,2053-01-01,25.5
B1,2053-01-02,11.0
B1,2053-01-03,28.0
B1,2053-01-04,21.0
B1,2053-01-05,18.333333333333332
B1,2053-01-06,23.0
B1,2053-01-07,24.0
B1,2053-01-08,32.4
B1,2053-01-09,29.0
B1,2053-01-10,27.0
B1,2053-01-11,26.75
B1,2053-01-12,25.25
B1,2053-01-13,27.0
B1,2053-01-14,27.5
B1,2053-01-15,28.5
B1,2053-01-16,27.0
B1,2053-01-17,28.666666666666668
B1,2053-01-18,34.6
B1,2053-01-19,35.666666666666664
B1,2053-01-20,31.0
B1,2053-01-21,31.6
B1,2053-01-22,33.0
B1,2053-01-23,31.8
B1,2053-01-24,28.5
B1,2053-01-25,40.2
B1,2053-01-26,33.0
B1,2053-01-27,31.666666666666668
B1,2053-01-28,32.333333333333336
B1,2053-01-29,36.0
B1,2053-01-30,20.0
B1,2053-01-31,19.6
B1,2053-02-01,34.0
B1,2053-02-02,26.6
B1,2053-02-03,24.5
B1,2053-02-04,25.5
B1,2053-02-05,24.0
B1,2053-02-06,27.0
B1,2053-02-07,11.0
B1,2053-02-08,35.0
B1,2053-02-09,30.666666666666668
B1,2053-02-10,35.666666666666664
B1,2053-02-11,42.0
B1,2053-02-12,26.0
B1,2053-02-13,46.5
B1,2053-02-14,22.0
B1,2053-02-15,28.0
B1,2053-02-16,15.0
B1,2053-02-17,30.25
B1,2053-02-18,28.4
B1,2053-02-19,30.25
B1,2053-02-20,23.0
B1,2053-02-21,21.666666666666668
B1,2053-02-22,22.0
B1,2053-02-23,25.428571428571427
B1,2053-02-24,22.0
B1,2053-02-25,25.666666666666668
B1,2053-02-26,20.8
B1,2053-02-27,40.5
B1,2053-02-28,30.5
B1,2053-03-01,34.0
B1,2053-03-02,26.0
B1,2053-03-03,43.0
B1,2053-03-04,28.25
B1,2053-03-05,24.75
B1,2053-03-06,36.8
B1,2053-03-07,28.75
B1,2053-03-08,29.0
B1,2053-03-09,27.0
B1,2053-03-10,29.4
