nom_ligne,classification_retard
B1,retard moyen inf a 7min
B10,retard moyen sup a 7min
B11,retard moyen inf a 7min
B12,retard moyen sup a 7min
B13,retard moyen inf a 7min
B14,retard moyen inf a 7min
B15,retard moyen inf a 7min
B16,retard moyen inf a 6min30
B17,retard moyen inf a 6min30
B18,retard moyen inf a 7min
B19,retard moyen inf a 6min30
B2,retard moyen inf a 6min30
B20,retard moyen inf a 6min30
B21,retard moyen inf a 7min
B22,retard moyen inf a 6min30
B23,retard moyen inf a 7min
B24,retard moyen inf a 6min30
B25,retard moyen sup a 7min
B26,retard moyen inf a 7min
B27,retard moyen inf a 6min30
B28,retard moyen inf a 6min30
B3,retard moyen sup a 7min
B4,retard moyen inf a 7min
B5,retard moyen inf a 7min
B6,retard moyen inf a 7min
B7,retard moyen inf a 7min
B8,retard moyen inf a 6min30
B9,retard moyen inf a 7min
M1,retard moyen inf a 6min30
M10,retard moyen inf a 6min30
M11,retard moyen sup a 7min
M12,retard moyen inf a 7min
M13,retard moyen inf a 7min
M14,retard moyen inf a 6min30
M15,retard moyen inf a 6min30
M16,retard moyen inf a 6min30
M17,retard moyen inf a 7min
M18,retard moyen inf a 7min
M19,retard moyen inf a 7min
M2,retard moyen sup a 7min
M20,retard moyen sup a 7min
M21,retard moyen inf a 7min
M22,retard moyen inf a 6min30
M23,retard moyen inf a 6min30
M24,retard moyen sup a 7min
M25,retard moyen inf a 7min
M26,retard moyen inf a 6min30
M27,retard moyen inf a 7min
M28,retard moyen sup a 7min
M29,retard moyen inf a 6min30
M3,retard moyen inf a 7min
M30,retard moyen sup a 7min
M31,retard moyen sup a 7min
M32,retard moyen sup a 7min
M33,retard moyen inf a 7min
M34,retard moyen sup a 7min
M35,retard moyen inf a 6min30
M36,retard moyen inf a 6min30
M37,retard moyen inf a 6min30
M38,retard moyen inf a 7min
M39,retard moyen inf a 7min
M4,retard moyen inf a 7min
M5,retard moyen inf a 7min
M6,retard moyen inf a 7min
M7,retard moyen inf a 7min
M8,retard moyen inf a 7min
M9,retard moyen inf a 7min
T1,retard moyen inf a 6min30
T10,retard moyen inf a 7min
T11,retard moyen inf a 6min30
T12,retard moyen inf a 7min
T13,retard moyen sup a 7min
T14,retard moyen inf a 7min
T15,retard moyen inf a 7min
T16,retard moyen sup a 7min
T17,retard moyen inf a 7min
T18,retard moyen inf a 7min
T19,retard moyen inf a 7min
T2,retard moyen inf a 7min
T20,retard moyen inf a 7min
T21,retard moyen sup a 7min
T22,retard moyen sup a 7min
T23,retard moyen inf a 7min
T24,retard moyen inf a 7min
T25,retard moyen inf a 6min30
T26,retard moyen inf a 7min
T27,retard moyen inf a 6min30
T28,retard moyen sup a 7min
T29,retard moyen inf a 7min
T3,retard moyen inf a 7min
T30,retard moyen inf a 6min30
T31,retard moyen inf a 7min
T32,retard moyen inf a 6min30
T33,retard moyen inf a 6min30
T4,retard moyen inf a 7min
T5,retard moyen inf a 7min
T6,retard moyen inf a 6min30
T7,retard moyen inf a 7min
T8,retard moyen inf a 7min
T9,retard moyen inf a 7min
